rank,char_trad,char_simp,count
811,頻,频,100375
812,享,,100359
813,階,阶,100268
814,歐,欧,100222
815,碼,码,100066
816,繼,继,99878
817,招,,99647
818,略,,99523
819,抱,,99234
820,股,,99182
821,置,,99062
822,私,,98830
823,既,,98540
824,划,,98457
825,劃,划,98457
826,升,,98396
827,唱,,98373
828,鐵,铁,98276
829,福,,97756
830,雞,鸡,97608
831,端,,97402
832,陽,阳,97200
833,姑,,97117
834,介,,96706
835,江,,96697
836,硬,,96694
837,懷,怀,96579
838,付,,96059
839,沖,冲,95977
840,衝,冲,95977
841,痛,,95821
842,州,,95628
843,混,,95621
844,積,积,95379
845,刷,,95313
846,暴,,94750
847,幸,,94563
848,倖,幸,94563
849,龍,龙,94549
850,止,,94210
851,貨,货,93862
852,操,,93700
853,紀,纪,93693
854,括,,93424
855,銀,银,93409
856,志,,93372
857,誌,志,93372
858,錄,录,93325
859,韓,韩,93062
860,春,,92315
861,爆,,92293
862,趣,,92247
863,菜,,91941
864,麻,,91406
865,帝,,91260
866,鍵,键,91141
867,波,,91041
868,夫,,91009
869,緊,紧,90910
870,核,,90745
871,迷,,90697
872,右,,90510
873,云,,90491
874,雲,云,90491
875,減,减,90274
876,典,,90078
877,善,,90065
878,警,,90049
879,章,,89923
880,觸,触,89779
881,停,,89744
882,判,,89339
883,益,,88818
884,默,,88818
885,鍾,钟,88806
886,鐘,钟,88806
887,疑,,88773
888,娘,,88695
889,財,财,88502
890,弟,,88345
891,旅,,88113
892,跳,,87412
893,訓,训,86927
894,曲,,86879
895,麴,曲,86879
896,蘭,兰,86450
897,夢,梦,86224
898,尤,,86094
899,甦,苏,85703
900,蘇,苏,85703
901,囌,苏,85703
902,購,购,85663
903,貓,猫,85325
904,占,,85101
905,佔,占,85101
906,盤,盘,84998
907,靈,灵,84990
908,木,,84957
909,良,,84546
910,借,,84364
911,述,,84236
912,邀,,84061
913,忘,,84019
914,估,,84012
915,亮,,83796
916,石,,83765
917,亂,乱,83437
918,農,农,83218
919,誤,误,83040
920,范,,82877
921,範,范,82877
922,秀,,82779
923,蛋,,82747
924,偶,,82724
925,顏,颜,82701
926,擔,担,82387
927,怪,,82168
928,密,,82165
929,貴,贵,81982
930,唯,,81859
931,坏,,81805
932,壞,坏,81805
933,驚,惊,81747
934,忍,,81723
935,腳,脚,81583
936,索,,81523
937,遍,,81278
938,聞,闻,81274
939,搜,,80837
940,蒐,搜,80837
941,尼,,79580
942,斗,,79565
943,鬥,斗,79565
944,歸,归,79485
945,移,,79316
946,佛,,79279
947,彿,佛,79279
948,礎,础,78976
949,若,,78760
950,陸,陆,78531
951,府,,78494
952,黨,党,78381
953,彈,弹,78333
954,靜,静,78185
955,播,,78183
956,險,险,78075
957,床,,78003
958,恐,,77951
959,序,,77852
960,析,,77710
961,輸,输,77586
962,批,,77505
963,雜,杂,77484
964,退,,77332
965,九,,77330
966,輯,辑,77082
967,融,,76943
968,頂,顶,76934
969,舍,,76377
970,捨,舍,76377
971,洲,,76342
972,牙,,76330
973,庭,,75767
974,漫,,74790
975,鏡,镜,74303
976,耳,,74202
977,輩,辈,74169
978,浪,,74129
979,載,载,73479
980,港,,73412
981,膚,肤,73219
982,鮮,鲜,73132
983,察,,73086
984,架,,73012
985,描,,72995
986,禮,礼,72931
987,脫,脱,72924
988,顧,顾,72396
989,豆,,72089
990,偷,,71985
991,均,,71929
992,含,,71902
993,賺,赚,71452
994,釋,释,71433
995,魚,鱼,71409
996,午,,71022
997,攻,,71012
998,腿,,70962
999,紙,纸,70959
1000,兵,,70758
1001,楚,,70698
1002,衛,卫,70646
1003,域,,70537
1004,村,,70482
1005,夏,,70153
1006,閱,阅,69847
1007,河,,69837
1008,采,,69821
1009,採,采,69821
1010,松,,69706
1011,鬆,松,69706
1012,婆,,69686
1013,穩,稳,69383
1014,毒,,69259
1015,罵,骂,69069
1016,街,,68918
1017,犯,,68887
1018,暗,,68875
1019,吐,,68502
1020,宣,,68086
